自用频道,#genre#
台视,http://162.19.247.76:22222/live/taishi/index.m3u8
中视,rtmp://9sv2.mine.nu/sat/tv091
中视,https://fsv4.yj011.net/sat/tv091.flv
华视,https://epg.pw/stream/eccf32739b25830eae943450b2e0cd8790e575a94f2edee661670cbceaa71f49.m3u8
华视,http://162.19.247.76:22222/live/huashi/index.m3u8
民视,rtmp://9sv2.mine.nu/sat/tv051
民视,http://23.237.10.66:16334
民视,rtmp://119.81.124.89/sat/tv051
东森洋片,http://162.19.247.76:22222/live/dsypt/index.m3u8
中天娱乐,http://162.19.247.76:22222/live/ztyl/index.m3u8
中天亚洲,http://162.19.247.76:22222/live/ztyz/index.m3u8
纬来体育,rtmp://9sv2.mine.nu/sat/tv721
纬来体育,http://cloud.yumixiu768.com/tmp/123.m3u8
东森财经,rtmp://9sv2.mine.nu/sat/tv571
东森财经,rtmp://119.81.124.89/sat/tv571
ELTA1,rtmp://9sv2.mine.nu/sat/md041
ELTA2,rtmp://9sv2.mine.nu/sat/md051
八大第一,https://epg.pw/stream/182256f7250dc0a05ced541233e9a94f9e3fedd868f4613b994bc36c434855cb.m3u8
三立都会,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=1a3986bd8fb660eacbcc9954c67fb674fa810779ddc2fab5fa77188868ca3686
三立台湾,https://epg.pw/stream/c7dbae714c89491ea3eea1f746be7982f4fa8a8c81d67b3854ff67d46931a191.m3u8
三立台湾,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=cfd432e7da8eece68fe4a4da3a3bc08ab1bbc50b147a84c95ae3d4a569e932b1
